hard_top1,hard_gap15,blank_ratio,to_llm,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.5,0.12,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.12,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.15,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.15,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.15,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.15,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.2,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.2,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.2,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.5,0.2,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.02,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.02,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.02,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.02,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.03,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.03,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.03,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.03,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.05,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.05,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.05,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.05,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.08,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.08,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.08,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.08,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.12,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.12,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.12,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.12,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.15,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.15,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.15,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.15,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.2,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.2,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.2,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.55,0.2,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.6,0.02,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.6,0.02,0.1,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.6,0.02,0.15,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.6,0.02,0.2,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
0.6,0.03,0.05,24,31,2,1,19,0.9394,0.0606,0.05,0.95,0.9688,0.9538,0.9447,53,0.21648
